用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,scores,segmented
1345393201520781,不知道起什么名字,2025.08.07,河南,[黑脸]搞出这个东西的人一定是个天才,28879,7535450961416195362,0.0836566583094781,[ 黑脸 ] 搞 东西 天才
2647272044903799,远方     .,2025.08.08,山东,《压片战争》[九转大肠],3,7535450961416195362,0.5170540084583289,《 压片 战争 》 [ 九转 大肠 ]
3755568949370779,ꦿ陌᭄,2025.08.08,吉林,这还不阴[微笑],1,7535450961416195362,0.6380056218021851,不 阴 [ 微笑 ]
1201127499249437,glod零世,2025.08.07,四川,冠军来了,2642,7535450961416195362,0.8999999999999999,冠军
3107651389759225,纺牵夏入宙,2025.08.07,广东,[微笑],2487,7535450961416195362,0.7608695652173911,[ 微笑 ]
1876219227547756,牢固な,2025.08.07,山东,365字节来了,1891,7535450961416195362,0.7297953905324696,365 字节
2344620122975047,戴围巾,2025.08.07,河南,骗你的其实有2kb的[笑哭],5018,7535450961416195362,0.28575915687097664,骗 2kb [ 笑 哭 ]
1280288603507095,＿＝,2025.08.07,安徽,已经落后了[憨笑],1036,7535450961416195362,0.3009818994215644,落后 [ 憨笑 ]
101614273847,Hui.,2025.08.07,浙江,更是NB[憨笑],87,7535450961416195362,0.5219307482388419,更是 NB [ 憨笑 ]
3837770338935332,夏色恋花火,2025.08.07,四川,还有gif版的[憨笑],738,7535450961416195362,0.5095299702966015,gif 版 [ 憨笑 ]
3402329577762713,印度王中王,2025.08.07,福建,你猜我为什么不笑,198,7535450961416195362,0.6338800901029804,猜 不笑
232751218565275,贝了个贝,2025.08.07,广东,gif的来了[捂脸],343,7535450961416195362,0.04096626004626014,gif [ 捂脸 ]
3989495893463997,任真,2025.08.07,山东,15mb[捂脸],39,7535450961416195362,0.04096626004626014,15mb [ 捂脸 ]
101902650189,名字不知道取什么,2025.08.08,广西,[抱抱你],0,7535450961416195362,0.7499999999999999,[ 抱抱 ]
2034561614349243,娜娜,2025.08.07,河南,片压这么小都能发出来了[抱抱你],1305,7535450961416195362,0.48864716911306627,片压 发出 [ 抱抱 ]
3026276045564493,孔子,2025.08.07,辽宁,"🥵
 👔🤳
 🩲≡≡≡≡👊≡∍ 💦@我得了MVP 
🦶🦶",2,7535450961416195362,0.39649036561138595,"🥵 
   👔 🤳 
   🩲 ≡ ≡ ≡ ≡ 👊 ≡ ∍   💦 @ MVP   
 🦶 🦶"
2299820090860732,大都会黑暗骑士,2025.08.07,黑龙江,能搞一个5mb以下的gif版吗，我上传到抖音表情包[图片表情],23,7535450961416195362,0.028493939895495868,搞 5mb gif 版 传到 抖音 表情 包 [ 图片 表情 ]
2718470867782504,Zyming2008,2025.08.08,广东,哪吒2磨瞳降视,1,7535450961416195362,0.37820723132613987,哪吒 2 磨瞳 降视
22805891355,著名退堂鼓表演艺术家,2025.08.07,江苏,想起以前上学那会，同学4G存储空间的手机，里面有上百部片[捂脸]糊的只能靠想象力去弥补画面了[微笑],91,7535450961416195362,0.7244229013378358,想起 上学 那会 同学 4G 存储空间 手机 百部 片 [ 捂脸 ] 糊 只能靠 想象力 弥补 画面 [ 微笑 ]
1768484577740958,填写名字,2025.08.08,广东,有两百秒一帧那种[黑脸],0,7535450961416195362,0.49555218717264193,两百 秒 一帧 那种 [ 黑脸 ]
3725584385719191,神烦狗toby,2025.08.08,山西,4.54kb[捂脸],0,7535450961416195362,0.04096626004626014,4.54 kb [ 捂脸 ]
3835560895455856,我是一只小小小鸟~,2025.08.08,山东,[黑脸]搞出这个东西的人一定是个天才[微笑][微笑],0,7535450961416195362,0.40279150499978367,[ 黑脸 ] 搞 东西 天才 [ 微笑 ] [ 微笑 ]
3697009017749560,因果欲加吾身,2025.08.07,陕西,高手无需留名,43,7535450961416195362,0.2635120873664992,高手 无需 留名
917450086689064,⁺✞ʚ涵涵重度依赖ɞ✟₊,2025.08.07,江西,谁有？ 我想看看,0,7535450961416195362,0.5262327818078083,？  
95955482088,ai,2025.08.07,贵州,这才是真投入[憨笑][憨笑][憨笑],0,7535450961416195362,0.28751328005922916,这才 真 投入 [ 憨笑 ] [ 憨笑 ] [ 憨笑 ]
761289149523694,炸鸡1024、,2025.08.08,山东,压片战争,0,7535450961416195362,0.5,压片 战争
13624334884919,灰幻Patrick,2025.08.07,广东,孩子们你们要的gif[图片表情],0,7535450961416195362,0.83523760308833,孩子 gif [ 图片 表情 ]
2696414996992916,我不会再迷茫了,2025.08.07,安徽,别急还有个gif表情包的全集[捂脸],1448,7535450961416195362,0.038757875191765545,别急 gif 表情 包 全集 [ 捂脸 ]
3013133272094880,方位学教授,2025.08.07,广东,倒是发个gif来看看啊兄弟们,5132,7535450961416195362,0.2338099453487259,倒 发个 gif 兄弟
2498571439445143,江🐔666,2025.08.07,新疆,你也在Gjs吗[憨笑],0,7535450961416195362,0.4737672181921908,Gjs [ 憨笑 ]
2401800886160871,诶嘿~,2025.08.07,山东,62字节gif的来了[捂脸],61,7535450961416195362,0.02531012924403042,62 字节 gif [ 捂脸 ]
3930116939586201,🌈ssk,2025.08.07,江西,杀死比赛[憨笑],10,7535450961416195362,0.8901750077275132,杀死 比赛 [ 憨笑 ]
103983122062,长矛蘸屎戳谁谁死,2025.08.07,陕西,我们群里有个jpg的动图[尬笑],43,7535450961416195362,0.6454360331542093,群里 有个 jpg 动图 [ 尬 笑 ]
1981775001167993,散财童子,2025.08.07,河南,[微笑],34,7535450961416195362,0.7608695652173911,[ 微笑 ]
593342922752509,大帅比,2025.08.07,广东,爸爸妈妈，我出生了,0,7535450961416195362,0.9936644464513876,爸爸妈妈 出生
1169486669944091,狗子宝贝,2025.08.08,山东,太好了上传大学作业视频有救了,0,7535450961416195362,0.9916037095209043,太好了 上传 大学 作业 视频 有救
3492494842802280,xing,2025.08.07,云南,我有29mb的[呲牙],0,7535450961416195362,0.4737672181921908,29mb [ 呲 牙 ]
3877315010109824,枫树,2025.08.07,广东,最高是多少的，我想要[呲牙],3,7535450961416195362,0.5180297910986704,想要 [ 呲 牙 ]
102394709511,卬 否否否,2025.08.07,安徽,别说我真有那个gif的[流泪],47,7535450961416195362,0.7855706022496763,真 gif [ 流泪 ]
3628844036140431,刘建明,2025.08.07,河南,不到1m的[捂脸][OK],2,7535450961416195362,0.019878018532256125,不到 1m [ 捂脸 ] [ OK ]
